#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


動畫,#genre#
CCTV14[geo-blocked],https://epg.pw/stream/f7d0fb83d58e061ffa51c5e7fc318bab8194aca51daeebbcf8d5778b032aaa78.m3u8
CCTV14[geo-blocked],https://epg.pw/stream/f0c527461630b35f426d365bbb63db5be28c74bb9a2aef23e8e1cac9ad9ace0f.m3u8
CCTV14[geo-blocked],https://epg.pw/stream/d58417fc0c8701fc563a72991410b68936b06d3bb92c0b23f0975f8900df79c5.m3u8
CCTV14,https://epg.pw/stream/4a5beadb9447310f27414d09182272eb02d3d4dae15847901fad7615e763fcef.m3u8
CCTV14[geo-blocked],https://epg.pw/stream/526ce891384cdd72da1598b3294d0990d4b921f9a0e3547b2d707d6067fea192.m3u8
CCTV14[geo-blocked],https://epg.pw/stream/701f0e5ebf26e922e730e1d24622bbf1a58960171ff4f6b58a9f299b5f91557e.m3u8
CCTV14,https://epg.pw/stream/869d7f20f1bc33c4b8ae19c277f88e5fd4f048870833798d66f5e78f8fa156ef.ctv
CCTV14[geo-blocked],https://epg.pw/stream/a4646f726888280b1a813e49bc2550d6cb88904969f004ad1d87e2a419b0b39d.m3u8
CCTV14[geo-blocked],https://epg.pw/stream/d3616069e4f923dd6587e1fc76d936f7ff690938856b9160bac77aa1ea356733.m3u8
CCTV14[geo-blocked],https://epg.pw/stream/e170a082a3342d69f57d15d2c5dd7c737d578832fbbb45575373ec315eaf132d.m3u8
CCTV14[geo-blocked],https://epg.pw/stream/9e3693b5248d3d902f308b33cddf5b90755d8cf974c38a5a0736664eb2bc582d.m3u8
CCTV14,https://epg.pw/stream/e926ee71b255bcd633a88d3ec4ca9f1673f5138adbfb34bb1a69cfc05bd6065a.m3u8
CCTV14,https://epg.pw/stream/591c91fa359efa3fd62da45460c323fac48a6aee7eb665c00de2dd83811c9a8a.m3u8
CCTV14,https://epg.pw/stream/36d64051b21938e6faad61f8af622cc7aaf1a3b358dfd9177552d75d3cd35326.m3u8
CCTV14[geo-blocked],https://epg.pw/stream/79f79a0481238f972254ff30123ab2344acaee1fc4387c6ebe4c45646c6b8b86.m3u8
CCTV14,https://epg.pw/stream/a4f487bbaa40f39bf2bc5925bcc85664d50a0d22b58ba3f7f7ecea00ec44b3bb.m3u8
CCTV14[geo-blocked],https://epg.pw/stream/cc806f7231139bde8a37b0df8d20f6ec5eec7ea5deaf4b1fac12c36e286504bc.ctv
CCTV14,https://epg.pw/stream/3ae50c1b2caea09e1b820851cec69afc8bb94a4fa84cc82a28dbe6a8d95e395d.m3u8
CCTV14,https://epg.pw/stream/c05194d271a15942d1c69ab1d23275410d4b93f09c0023c8a4ba6b001f3bd649.m3u8
CCTV14,https://epg.pw/stream/81b4e928d571e797c896897890385bbe1238d0ff119979d460e6456626fe7228.m3u8
CCTV14[geo-blocked],https://epg.pw/stream/ee7315abb99c29d14472e3ef20779ba2e924c4c371bc80600bc7eab1b8f0f2e9.m3u8
CCTV14[geo-blocked],https://epg.pw/stream/079818ab91d9211a562275b75cd044b58eb3129a9b27d9467b43ee5b6e8f0bd3.m3u8
CCTV14[geo-blocked],https://epg.pw/stream/7eee254061f1a4e3e81a032cef831ddaff57784bac0bcc74d9db6648397baaa3.m3u8
CCTV14[geo-blocked],https://epg.pw/stream/0d3a309a7e4efcb7957356ad9939d79410e8bce81ddb4afd7da1efe0295792b4.ctv
CCTV14,https://epg.pw/stream/c21adddeea0ba28496f4ab5832757f6b8648c972542743ac410981a00618a291.m3u8
CCTV14,https://epg.pw/stream/21e0aa4969772a847f51e1f461d020b9e23c8ccb096e5abfe7afeedba3040264.m3u8
CCTV14,https://epg.pw/stream/b876031c344943c8248745e5171ab2f9f15a573fb5cb2305d3d08989832c1992.m3u8
CCTV14,https://epg.pw/stream/75d064c5715ffc57f33b48bcc57d1ca178f1d305edfb912eae47117f35634fd6.m3u8
CCTV14,https://epg.pw/stream/585fab515086c51acaeb8d1f6ef1c66bc3de8c1ad279010a6e1e50c0f8f22cf0.ctv
CCTV14,https://epg.pw/stream/57b09e3a50bab2610b5878bf2ca11168021fab775088121d6f4662a9d8ee0b48.m3u8
CCTV14[geo-blocked],https://epg.pw/stream/d669c11f3a5cb6d651c56767ec4551687a01226be3bc3bda4c68506d5b957a39.m3u8
CCTV14,https://epg.pw/stream/27937ae6428f55dd079ac3b5beda1050841c56ae03670e6b2ba5fcc64bacae0f.m3u8
CCTV14,https://epg.pw/stream/24a96285806f18524fda0d3d2e78d39684bb72933be572cfad7e43eda7389b9f.m3u8
CCTV14,https://epg.pw/stream/01d398b48751896f0d06637c1f51b298fbb9a96d57bb6b19ab73aeaec5851c73.ctv
