#This file is automatically generated by https://epg.pw and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#EPG.pw does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://epg.pw/app_download.html
#這個檔案是由https://epg.pw自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#EPG.pw並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://epg.pw/app_download.html


綜藝,#genre#
Canal Macau[geo-blocked],https://epg.pw/stream/3913df98dcc0a272253124124e61dabc129206d8efc8a962faf7a12eed5da68f.m3u8
澳視综艺[geo-blocked],https://epg.pw/stream/2ddfe301c98685299c4b4f3c0b6e2c898ee5b60eb4340251f14c0f6c5559d644.m3u8
澳視综艺[geo-blocked],https://epg.pw/stream/2cf62a08df3a75bf265034ff47eeb7a3ec15997fcd8495bbabf9a7a62178f6c4.m3u8
澳視综艺[geo-blocked],https://epg.pw/stream/4a7da0617bb799064ad69f7a9348becadcb3a23af873ce71b1d04ecfb8c0cd7e.m3u8
澳視综艺[geo-blocked],https://epg.pw/stream/56e644d06844f14b7fe30d1064ba8bbeff61c91aeb133fbb188360df27c81211.m3u8
澳視综艺[geo-blocked],https://epg.pw/stream/dbe49fe84e648d29e51fa5cb3b1c44f0b17a9f398de847d09ba01896c8437f92.m3u8
澳視综艺[geo-blocked],https://epg.pw/stream/1c0f3e10570656819018e996566b5a76dfeda167ab0be247bb70c58d26581503.m3u8
澳視综艺[geo-blocked],https://epg.pw/stream/4796c89879f7d64631d9ad632c9f22a338f4a792ba639b456ff8baaff4d0666d.m3u8
澳視综艺[geo-blocked],https://epg.pw/stream/5e3a7b75416e00482d9b802b2de5d9f84359c351d89a7448357d3aae3dc950f4.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/be78bae45b9143f0e0d0d3508fc4f1fb36ceefd33484d2833f6e0c37f078a384.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/f66fa1b3f56d0ea468cf43b10b60d498c43df37a1b1fd8c3a210d62bc18c8bc9.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/111b6f89e4ba12b4189f44cde1b65dfcc05e9d88c87bffaeb310db5183e2b5c2.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/9830bf77607aa2e96eefca4bc429529e0b34e11d9746ba00585b665a7431621d.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/00e5ec97f0e5dce0728dcfaa9564ba7c9507d2aa7d65933d80794dedb07b6db3.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/c5a637dc71d82fb9584874230c4da381f58a35cda7818a8cac994b76027f437c.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/435df187fdfb5455274498efbcb1f056d29c8d60e3042b65d6f613786e44206f.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/f6878e72a5b023cdcd641e5c5823cfb87ad39ce4c667972b3d960acb4e9b687d.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/a366da793d5db74a4c0c2e5d72c32c0b50358db6a1ef9439035b2a4d1567a31c.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/8b0da786f7edd4f1df95551e3b6a9c9ff7ae73c75dd773618b0fdee8199e864b.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/c1087a0e277789f653e0a416361e2a583a327d7de14361616c526a2f5f834f2e.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/675c398a10234163072a0c473b48b5c21b1c3976d3b1413a6b35455c1737eec2.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/8c1e3fc597d858daeca7a8863f5d26380d9fd3043cb2c80772a899fa6328a2a7.ctv
澳視葡文[geo-blocked],https://epg.pw/stream/0ad1c6cd346c98d4bca3fbb550d1e198407f617291c3a25db8bcc7eeb1c71e41.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/aef7cfb5e6a867ac7b399576e5251f3324862d8e3c824052fbc3a8b06520674a.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/3f8dbb29b07f4f1f3ef29c19f38b355d67a375cc875b961b5fbfa02319b32400.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/971c747fa7ed0113d052481bb63d5daa0150137156148f43e62949d5292c1505.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/6c1be32328f5bf73b188118369cff7d447da260fd2250d912bed859b22057b82.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/625344489d91440a8c50e8b420632dab6a4625f8731978304bf812dd286c0a50.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/3ca9f84b4fc0716704ccdf69d3bbb6f19a9ef56fcbdcc912d331474a39d476e2.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/f32c127bc8f9aeec320583204f17fdba18a62675023890bdcb7f44fd3a4feac9.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/2be5cbb71317d0714c48e615bcabc042f2c2f759ecce40b69aaf0fa0772f37ef.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/551cd081e39dda8c3e111da88747fb77bd7aeb7d6b7da71cc4a1e543021ecb79.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/194c676c78253d07bed068ebfcc4ceb38cf96cb251a8c092e568f31b221a7a31.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/d93097307a5fb6f42a49bc02a299508fc436b1ea6e2d3707ff3c37cef97a3d09.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/85f2e25a346058cd7f5c39fa73704e6b085721d5863c3a8bb458cb744d0bc78a.m3u8
澳視葡文[geo-blocked],https://epg.pw/stream/a38579e237955dd16c9c615aa9294bfe4f004aca1df611b08295ffa9cf8cea8c.m3u8
澳門MACAU[geo-blocked],https://epg.pw/stream/cde1c1d26378ff279cf381639157c43e8377353728fa33fc265ba060de079dc8.m3u8
